ticker,name,sector,weight_pct,method
THFF,FIRST FINANCIAL CORPORATION CORP,Financials,0.03179,book
NBN,NORTHEAST BANK,Financials,0.03174,book
GLUE,MONTE ROSA THERAPEUTICS,Health Care,0.0316,fcff
ORIC,ORIC PHARMACEUTICALS,Health Care,0.03158,fcff
WINA,WINMARK,Consumer Discretionary,0.0315,fcff
FLNG,FLEX LNG,Energy,0.03144,fcff
KFRC,KFORCE,Industrials,0.03141,fcff
LQDT,LIQUIDITY SERVICES INC,Industrials,0.03141,fcff
CIM,CHIMERA INVESTMENT,Financials,0.03132,book
PLOW,DOUGLAS DYNAMICS INC,Industrials,0.03124,fcff
ASAN,ASANA CLASS A,Information Technology,0.03123,fcff
TRAX,FIRST TRACKS BIOTHERAPEUTICS INC,Health Care,0.03117,fcff
FMNB,FARMERS NATIONAL BANC CORP,Financials,0.03114,book
MAZE,MAZE THERAPEUTICS,Health Care,0.03093,fcff
AMAL,AMALGAMATED FINANCIAL CORP,Financials,0.03088,book
FSUN,FIRSTSUN CAPITAL BANCORP,Financials,0.03084,book
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,Financials,0.03083,book
CERT,CERTARA,Health Care,0.03082,fcff
SAH,SONIC AUTOMOTIVE INC CLASS A,Consumer Discretionary,0.0308,fcff
FCEL,FUELCELL ENERGY INC,Industrials,0.03074,fcff
CRVS,CORVUS PHARMACEUTICALS,Health Care,0.03073,fcff
RVLV,REVOLVE GROUP CLASS A,Consumer Discretionary,0.0307,fcff
FLNC,FLUENCE ENERGY INC CLASS A,Industrials,0.03056,fcff
TRST,TRUSTCO BANK CORP,Financials,0.03047,book
BW,BABCOCK AND WILCOX ENTERPRISES,Industrials,0.03047,fcff
NUTX,NUTEX HEALTH INC,Health Care,0.03045,fcff
CDRE,CADRE HOLDINGS INC,Industrials,0.03042,fcff
PCT,PURECYCLE TECHNOLOGIES,Materials,0.03019,fcff
RCAT,RED CAT HOLDINGS INC,Industrials,0.03018,fcff
AMTB,AMERANT BANCORP CLASS A,Financials,0.03008,book
EE,EXCELERATE ENERGY CLASS A,Energy,0.03,fcff
SMP,STANDARD MOTOR PRODUCTS INC,Consumer Discretionary,0.02974,fcff
ARDX,ARDELYX,Health Care,0.02969,fcff
SBSI,SOUTHSIDE BANCSHARES INC,Financials,0.02965,book
UTL,UNITIL CORP,Utilities,0.02946,fcff
CCO,CLEAR CHANNEL OUTDOOR HOLDINGS INC,Communication,0.02944,fcff
SVC,SERVICE PROPERTIES TRUST,Real Estate,0.02944,none
GHM,GRAHAM CORP,Industrials,0.02929,fcff
VOR,VOR BIOPHARMA,Health Care,0.02929,fcff
BLMN,BLOOMIN BRANDS INC,Consumer Discretionary,0.02929,fcff
STGW,STAGWELL CLASS A,Communication,0.02929,fcff
SMPL,THE SIMPLY GOOD FOODS COMPANY,Consumer Staples,0.02927,fcff
EIG,EMPLOYERS HOLDINGS,Financials,0.02927,book
GOLD,GOLD INC,Consumer Discretionary,0.02927,fcff
TYRA,TYRA BIOSCIENCES,Health Care,0.02909,fcff
BUR,BURFORD CAPITAL LTD,Financials,0.02906,book
SENEA,SENECA FOODS CLASS A,Consumer Staples,0.02904,fcff
ODC,OIL DRI CORPORATION OF AMERICA,Consumer Staples,0.02894,fcff
ANRO,ALTO NEUROSCIENCE INC,Health Care,0.02893,fcff
MFA,MFA FINANCIAL,Financials,0.02868,book
CSR,CENTERSPACE,Real Estate,0.02867,none
RPD,RAPID7,Information Technology,0.02867,fcff
WMK,WEIS MARKETS,Consumer Staples,0.02862,fcff
NBBK,NB BANCORP INC,Financials,0.0286,book
NX,QUANEX BUILDING PRODUCTS CORP,Industrials,0.02857,fcff
ZBIO,ZENAS BIOPHARMA,Health Care,0.02853,fcff
CXM,SPRINKLR CLASS A,Information Technology,0.02848,fcff
PLSE,PULSE BIOSCIENCES INC,Health Care,0.02838,fcff
FOXF,FOX FACTORY HOLDING,Consumer Discretionary,0.02834,fcff
TTI,TETRA TECHNOLOGIES,Energy,0.02828,fcff
HAFC,HANMI FINANCIAL CORP,Financials,0.02823,book
SAFE,SAFEHOLD INC,Real Estate,0.02817,none
LWLG,LIGHTWAVE LOGIC,Information Technology,0.02801,fcff
FISI,FINANCIAL INSTITUTIONS INC,Financials,0.02799,book
MRVI,MARAVAI LIFESCIENCES HOLDINGS INC,Health Care,0.02793,fcff
SXC,SUNCOKE ENERGY INC,Materials,0.02792,fcff
TDAY,USA TODAY INC,Communication,0.02759,fcff
SEPN,SEPTERNA,Health Care,0.02757,fcff
APOG,APOGEE ENTERPRISES INC,Industrials,0.02756,fcff
FET,FORUM ENERGY TECHNOLOGIES INC,Energy,0.02754,fcff
WGO,WINNEBAGO INDUSTRIES,Consumer Discretionary,0.02753,fcff
HRTG,HERITAGE INSURANCE HOLDINGS INC,Financials,0.02747,book
RIGL,RIGEL PHARMACEUTICALS,Health Care,0.02744,fcff
MITK,MITEK SYSTEMS INC,Information Technology,0.02741,fcff
EVLV,EVOLV TECHNOLOGIES HOLDINGS CLASS,Information Technology,0.0273,fcff
KOP,KOPPERS HOLDINGS INC,Materials,0.02725,fcff
UA,UNDER ARMOUR INC CLASS C,Consumer Discretionary,0.0272,fcff
CPF,CENTRAL PACIFIC FINANCIAL CORP,Financials,0.02714,book
EQBK,EQUITY BANCSHARES INC CLASS A,Financials,0.02713,book
ORRF,ORRSTOWN FINANCIAL SERVICES INC,Financials,0.0271,book
BLZE,BACKBLAZE INC CLASS A,Information Technology,0.02707,fcff
GNK,GENCO SHIPPING AND TRADING,Industrials,0.02705,fcff
TE,T1 ENERGY,Information Technology,0.027,fcff
DJCO,DAILY JOURNAL,Information Technology,0.02699,fcff
OMDA,OMADA HEALTH,Health Care,0.02699,fcff
GCMG,GCM GROSVENOR CLASS A,Financials,0.02697,book
SIBN,SI BONE,Health Care,0.02683,fcff
MRTN,MARTEN TRANSPORT,Industrials,0.02679,fcff
GERN,GERON,Health Care,0.02678,fcff
APEI,AMERICAN PUBLIC EDUCATION,Consumer Discretionary,0.02676,fcff
RDVT,RED VIOLET INC,Information Technology,0.02675,fcff
PRKS,UNITED PARKS AND RESORTS,Consumer Discretionary,0.02669,fcff
ADAM,ADAMAS,Financials,0.02662,book
COLL,COLLEGIUM PHARMACEUTICAL INC,Health Care,0.02661,fcff
CADL,CANDEL THERAPEUTICS INC,Health Care,0.02643,fcff
MCBS,METROCITY BANKSHARES INC,Financials,0.02642,book
MGTX,MEIRAGTX HOLDINGS PLC,Health Care,0.02633,fcff
ESQ,ESQUIRE FINANCIAL HOLDINGS INC,Financials,0.02626,book
AVTX,AVALO THERAPEUTICS,Health Care,0.02623,fcff
RBCAA,REPUBLIC BANCORP INC CLASS A,Financials,0.02618,book
BBSI,BARRETT BUSINESS SERVICES INC,Industrials,0.02617,fcff
GLIBK,LIBERTY CAPITAL SERIES C,Communication,0.02611,fcff
LIF,LIFE360,Information Technology,0.02604,fcff
FG,F&amp;G ANNUITIES AND LIFE INC,Financials,0.02597,book
BZH,BEAZER HOMES,Consumer Discretionary,0.02596,fcff
